cadence,year,slice,days,n_top_in_position,n_ranked,oracle_ma_modal,modal_fast,modal_slow,modal_count,mean_capture_rate,mean_captured_return,dna_top5
1h,2020,W3,15-21,14,15,"SMA(20,50)",20,50,3,0.2399,0.0229,"SMA(20,50):3; EMA(5,50):2; EMA(5,20):2; SMA(5,50):2; EMA(10,100):1"
1h,2020,W4,22-28,15,15,"EMA(5,50)",5,50,3,0.7052,0.127,"EMA(5,50):3; SMA(20,50):3; EMA(5,20):2; EMA(10,20):2; SMA(5,50):2"
1h,2021,W1,1-7,25,25,"SMA(5,100)",5,100,7,0.8143,0.4139,"SMA(5,100):7; EMA(20,100):5; SMA(10,100):3; EMA(5,100):2; SMA(10,50):2"
1h,2021,W2,8-14,25,25,"SMA(5,50)",5,50,5,0.6049,0.3489,"SMA(5,50):5; EMA(5,20):4; EMA(20,100):3; SMA(5,20):3; SMA(10,50):3"
1h,2021,W3,15-21,4,25,"EMA(20,100)",20,100,3,0.75,0.8233,"EMA(20,100):3; SMA(20,100):1"
1h,2021,W4,22-28,25,25,"SMA(5,20)",5,20,10,0.371,0.2017,"SMA(5,20):10; EMA(10,20):4; SMA(10,20):4; SMA(20,50):1; EMA(5,100):1"
1h,2022,W1,1-7,15,25,"SMA(5,20)",5,20,6,0.1272,0.0128,"SMA(5,20):6; SMA(10,20):6; SMA(20,100):1; EMA(5,100):1; EMA(5,20):1"
1h,2022,W2,8-14,25,25,"SMA(10,100)",10,100,4,0.3144,0.0681,"SMA(10,100):4; SMA(5,20):3; SMA(20,100):3; SMA(20,50):2; SMA(10,50):2"
1h,2022,W3,15-21,2,25,"SMA(10,50)",10,50,1,0.3084,0.0672,"SMA(10,50):1; SMA(10,20):1"
1h,2022,W4,22-28,25,25,"SMA(5,20)",5,20,8,0.2177,0.0347,"SMA(5,20):8; SMA(5,100):5; SMA(20,100):4; SMA(5,50):3; EMA(5,20):2"
1h,2023,W1,1-7,25,25,"SMA(5,100)",5,100,5,0.6607,0.1347,"SMA(5,100):5; EMA(5,20):5; SMA(20,100):3; EMA(20,100):3; EMA(5,100):2"
1h,2023,W2,8-14,25,25,"EMA(5,100)",5,100,5,0.9732,0.5359,"EMA(5,100):5; SMA(5,100):5; EMA(20,100):5; SMA(20,100):4; EMA(10,100):3"
1h,2023,W3,15-21,25,25,"SMA(20,50)",20,50,6,0.786,0.3611,"SMA(20,50):6; EMA(20,100):4; EMA(5,20):4; SMA(5,50):3; EMA(10,100):3"
1h,2023,W4,22-28,25,25,"SMA(20,100)",20,100,6,0.4551,0.2229,"SMA(20,100):6; EMA(20,100):5; EMA(5,100):4; SMA(5,100):2; SMA(20,50):2"
1h,2024,W1,1-7,8,25,"SMA(10,20)",10,20,2,0.0234,-0.0112,"SMA(10,20):2; SMA(20,50):2; SMA(10,100):1; EMA(5,20):1; SMA(10,50):1"
1h,2024,W2,8-14,20,25,"SMA(20,50)",20,50,5,0.355,0.1007,"SMA(20,50):5; EMA(20,100):5; SMA(5,100):3; EMA(5,50):2; EMA(5,100):1"
1h,2024,W3,15-21,21,25,"SMA(10,50)",10,50,5,0.1676,0.0105,"SMA(10,50):5; SMA(10,100):3; SMA(20,50):3; SMA(5,50):3; EMA(10,100):1"
1h,2024,W4,22-28,24,25,"SMA(20,100)",20,100,6,0.4091,0.0736,"SMA(20,100):6; EMA(20,100):4; SMA(20,50):3; EMA(20,50):2; EMA(5,50):2"
1h,2025,W1,1-7,5,25,"EMA(20,100)",20,100,3,0.4343,0.0642,"EMA(20,100):3; SMA(20,50):2"
1h,2025,W2,8-14,25,25,"SMA(10,20)",10,20,7,0.4898,0.0843,"SMA(10,20):7; SMA(5,20):7; EMA(10,20):4; EMA(5,20):3; SMA(5,50):1"
