cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
30m,2026,W1,TAOUSDT,0.229,"SMA(10,20)",10,20,0.0,0.2391,0.0
30m,2026,W1,ARKMUSDT,0.1977,"SMA(10,20)",10,20,0.0,0.2114,0.0
30m,2026,W1,ENAUSDT,0.1858,"SMA(5,20)",5,20,0.0,0.1875,0.0
30m,2026,W2,DASHUSDT,0.9635,"SMA(10,100)",10,100,1.1357,1.1799,0.9626
30m,2026,W2,ICPUSDT,0.4091,"EMA(5,20)",5,20,0.4408,0.474,0.9299
30m,2026,W2,CHZUSDT,0.2886,"EMA(20,100)",20,100,0.2541,0.2886,0.8806
30m,2026,W2,ZENUSDT,0.2445,"SMA(5,100)",5,100,0.3182,0.374,0.8508
30m,2026,W2,POLUSDT,0.2109,"SMA(20,100)",20,100,-0.0245,0.2389,0.0
30m,2026,W2,BLURUSDT,0.2029,"EMA(5,100)",5,100,0.2105,0.2858,0.7365
30m,2026,W2,ZROUSDT,0.1755,"SMA(5,50)",5,50,0.1215,0.2195,0.5536
30m,2026,W2,OPUSDT,0.109,"EMA(20,50)",20,50,0.1048,0.1534,0.683
30m,2026,W2,ORDIUSDT,0.1062,"SMA(5,100)",5,100,0.1353,0.2015,0.6716
30m,2026,W2,PROMUSDT,0.0865,"SMA(10,20)",10,20,0.0117,0.0917,0.1275
30m,2026,W2,SOLUSDT,0.0768,"EMA(20,100)",20,100,0.0484,0.095,0.5096
30m,2026,W2,TAOUSDT,0.076,"EMA(5,100)",5,100,0.0168,0.0833,0.202
30m,2026,W2,PENGUUSDT,0.0753,"EMA(5,100)",5,100,0.0676,0.1092,0.6188
30m,2026,W2,AAVEUSDT,0.068,"EMA(10,100)",10,100,0.07,0.1042,0.6719
30m,2026,W2,DYDXUSDT,0.0661,"EMA(5,100)",5,100,0.0442,0.1099,0.4019
30m,2026,W2,FETUSDT,0.0639,"SMA(5,100)",5,100,0.0,0.091,0.0
30m,2026,W2,BTCUSDT,0.0639,"SMA(20,100)",20,100,0.0674,0.0811,0.8314
30m,2026,W2,ETHUSDT,0.0626,"EMA(5,50)",5,50,0.0745,0.0919,0.8111
30m,2026,W2,EIGENUSDT,0.0588,"EMA(5,100)",5,100,0.0588,0.0937,0.628
30m,2026,W2,ATOMUSDT,0.0586,"SMA(20,100)",20,100,-0.0141,0.0808,0.0
30m,2026,W2,BNBUSDT,0.0577,"EMA(10,50)",10,50,0.0483,0.0784,0.6166
30m,2026,W2,WIFUSDT,0.0564,"EMA(5,50)",5,50,0.0957,0.1226,0.7809
30m,2026,W2,FILUSDT,0.0543,"EMA(5,50)",5,50,0.0779,0.1087,0.7167
30m,2026,W2,LINKUSDT,0.053,"SMA(5,50)",5,50,0.0697,0.0871,0.8012
30m,2026,W2,NEARUSDT,0.0525,"EMA(5,100)",5,100,0.0575,0.0881,0.6523
30m,2026,W3,ZROUSDT,0.1826,"SMA(10,100)",10,100,0.1052,0.2305,0.4565
30m,2026,W3,JSTUSDT,0.1031,"SMA(5,100)",5,100,0.0903,0.1252,0.7209
30m,2026,W3,BIOUSDT,0.0464,"SMA(10,20)",10,20,0.0,0.134,0.0
30m,2026,W3,XUSDUSDT,0.0007,"SMA(10,100)",10,100,0.0005,0.0009,0.5553
30m,2026,W3,TRXUSDT,-0.0161,"SMA(10,20)",10,20,0.0067,0.0129,0.5231
30m,2026,W3,BCHUSDT,-0.0185,"SMA(5,100)",5,100,-0.0041,0.0283,0.0
30m,2026,W3,WLFIUSDT,-0.0333,"SMA(20,50)",20,50,0.0446,0.0651,0.6856
30m,2026,W3,BNBUSDT,-0.0644,"SMA(20,50)",20,50,-0.0053,0.02,0.0
30m,2026,W3,NEIROUSDT,-0.07,"EMA(10,20)",10,20,0.0832,0.1348,0.6173
30m,2026,W3,BTCUSDT,-0.0753,"SMA(5,20)",5,20,-0.0032,0.0211,0.0
30m,2026,W3,ATOMUSDT,-0.0779,"SMA(20,50)",20,50,-0.01,0.0366,0.0
30m,2026,W3,CHZUSDT,-0.0785,"SMA(10,20)",10,20,-0.0076,0.0156,0.0
30m,2026,W3,SHIBUSDT,-0.0858,"SMA(20,50)",20,50,0.0257,0.039,0.6581
30m,2026,W3,XRPUSDT,-0.0879,"SMA(20,50)",20,50,0.0229,0.0359,0.6388
30m,2026,W3,XLMUSDT,-0.0978,"SMA(20,100)",20,100,0.0,0.0306,0.0
30m,2026,W3,LTCUSDT,-0.1026,"SMA(10,100)",10,100,0.0,0.0307,0.0
30m,2026,W3,AAVEUSDT,-0.1033,"SMA(20,50)",20,50,0.0153,0.0421,0.3625
30m,2026,W3,ETHUSDT,-0.1076,"SMA(5,50)",5,50,-0.0105,0.0313,0.0
30m,2026,W3,ZENUSDT,-0.1091,"SMA(20,50)",20,50,0.0,0.0571,0.0
30m,2026,W3,HBARUSDT,-0.1094,"SMA(5,20)",5,20,-0.003,0.0408,0.0
30m,2026,W3,TRUMPUSDT,-0.1119,"SMA(5,20)",5,20,0.0024,0.0232,0.105
30m,2026,W3,SOLUSDT,-0.112,"SMA(20,50)",20,50,0.0137,0.0311,0.44
30m,2026,W4,WLDUSDT,0.2221,"SMA(20,100)",20,100,0.2792,0.3391,0.8233
30m,2026,W4,XPLUSDT,0.1414,"SMA(10,50)",10,50,0.2058,0.2635,0.7811
30m,2026,W4,ASTERUSDT,0.0967,"EMA(20,50)",20,50,0.0636,0.1169,0.5442
30m,2026,W4,CHZUSDT,0.0764,"EMA(20,100)",20,100,0.0793,0.1326,0.5981
30m,2026,W4,ALGOUSDT,0.0607,"EMA(20,100)",20,100,0.0431,0.1181,0.3647
30m,2026,W4,APTUSDT,0.0333,"SMA(10,100)",10,100,0.0515,0.1094,0.4709
30m,2026,W4,BNBUSDT,0.0158,"SMA(20,50)",20,50,0.0387,0.0527,0.7337
30m,2026,W4,ZROUSDT,0.0116,"EMA(20,100)",20,100,0.003,0.1026,0.0293
30m,2026,W4,VIRTUALUSDT,0.0112,"EMA(10,100)",10,100,0.0657,0.1401,0.4692
30m,2026,W4,LTCUSDT,0.008,"EMA(20,100)",20,100,0.0161,0.0551,0.2918
30m,2026,W4,ONDOUSDT,0.0079,"EMA(20,100)",20,100,0.0246,0.0864,0.2846
30m,2026,W4,BCHUSDT,0.0049,"EMA(20,100)",20,100,-0.0027,0.0421,0.0
30m,2026,W4,PNUTUSDT,0.0041,"EMA(5,100)",5,100,0.0138,0.1016,0.1353
30m,2026,W4,ETHUSDT,0.0027,"EMA(20,50)",20,50,0.0372,0.0756,0.4923
30m,2026,W4,DEXEUSDT,0.0016,"SMA(10,20)",10,20,0.0369,0.0475,0.7778
30m,2026,W4,AAVEUSDT,0.0009,"SMA(20,50)",20,50,0.056,0.0985,0.5679
30m,2026,W4,XUSDUSDT,0.0,"SMA(10,20)",10,20,0.0001,0.0003,0.3333
30m,2026,W4,ARKMUSDT,-0.0056,"SMA(20,100)",20,100,0.0655,0.1187,0.5514
30m,2026,W4,SUPERUSDT,-0.0063,"SMA(5,20)",5,20,-0.0048,0.02,0.0
30m,2026,W4,BTCUSDT,-0.0067,"SMA(5,100)",5,100,0.0136,0.0335,0.4054
30m,2026,W4,SEIUSDT,-0.0084,"SMA(20,100)",20,100,0.0133,0.0616,0.2155
30m,2026,W4,PENGUUSDT,-0.0097,"EMA(5,100)",5,100,0.0334,0.1094,0.3055
30m,2026,W4,ETCUSDT,-0.0103,"SMA(5,100)",5,100,0.0176,0.0462,0.3814
30m,2026,W4,TRXUSDT,-0.0124,"EMA(5,20)",5,20,0.0068,0.0148,0.4615
1h,2020,W1,BCHUSDT,0.0917,"SMA(5,50)",5,50,0.042,0.1008,0.417
1h,2020,W1,LTCUSDT,0.0281,"EMA(5,20)",5,20,0.0193,0.0526,0.3673
1h,2020,W2,DASHUSDT,0.5698,"EMA(5,50)",5,50,0.634,0.7951,0.7974
1h,2020,W2,ETCUSDT,0.3895,"SMA(5,20)",5,20,0.2433,0.4174,0.5827
1h,2020,W2,BCHUSDT,0.3776,"EMA(10,100)",10,100,0.4609,0.5049,0.9129
1h,2020,W2,LTCUSDT,0.2087,"SMA(5,100)",5,100,0.2508,0.3289,0.7625
1h,2020,W2,ZECUSDT,0.1871,"SMA(5,20)",5,20,0.0,0.1871,0.0
1h,2020,W2,TRXUSDT,0.1441,"SMA(5,20)",5,20,0.1395,0.2226,0.6264
1h,2020,W2,BTCUSDT,0.0465,"EMA(5,50)",5,50,0.0886,0.1461,0.6064
1h,2020,W2,LINKUSDT,0.0387,"SMA(5,20)",5,20,0.0908,0.1005,0.9039
1h,2020,W3,ETCUSDT,0.2681,"SMA(20,50)",20,50,0.039,0.3064,0.1271
1h,2020,W3,XLMUSDT,0.162,"EMA(5,50)",5,50,0.0198,0.2044,0.0969
1h,2020,W3,LINKUSDT,0.1016,"EMA(10,100)",10,100,0.0169,0.1589,0.1066
1h,2020,W3,BNBUSDT,0.058,"EMA(5,20)",5,20,0.0466,0.0981,0.4753
1h,2020,W3,XRPUSDT,0.0349,"EMA(10,50)",10,50,0.0049,0.0477,0.1029
1h,2020,W3,ETHUSDT,0.0241,"SMA(20,50)",20,50,0.0156,0.0603,0.2591
1h,2020,W3,ATOMUSDT,0.0194,"SMA(10,50)",10,50,0.0225,0.0812,0.2772
1h,2020,W3,TRXUSDT,0.0,"SMA(10,20)",10,20,0.047,0.0657,0.7162
1h,2020,W3,BTCUSDT,-0.0026,"SMA(5,20)",5,20,0.0028,0.0251,0.1108
1h,2020,W3,BCHUSDT,-0.0052,"SMA(5,50)",5,50,0.0035,0.0839,0.0414
1h,2020,W3,ALGOUSDT,-0.0096,"EMA(5,20)",5,20,0.0346,0.0593,0.5832
1h,2020,W3,ZECUSDT,-0.0144,"EMA(5,50)",5,50,0.0135,0.1421,0.0947
1h,2020,W3,LTCUSDT,-0.0361,"SMA(20,50)",20,50,0.0016,0.0399,0.0392
1h,2020,W3,DASHUSDT,-0.1253,"SMA(5,50)",5,50,0.0519,0.1579,0.3285
1h,2020,W4,ETCUSDT,0.2723,"EMA(5,20)",5,20,0.3533,0.4339,0.8142
1h,2020,W4,ADAUSDT,0.1506,"EMA(10,20)",10,20,0.2134,0.2829,0.7544
1h,2020,W4,BCHUSDT,0.1037,"SMA(5,50)",5,50,0.2026,0.2561,0.7911
1h,2020,W4,TRXUSDT,0.076,"SMA(5,20)",5,20,0.1588,0.1906,0.8333
1h,2020,W4,BTCUSDT,0.0738,"EMA(5,20)",5,20,0.1221,0.1384,0.8823
1h,2020,W4,ZECUSDT,0.0643,"EMA(5,50)",5,50,0.1496,0.2237,0.6687
1h,2020,W4,DASHUSDT,0.054,"EMA(5,50)",5,50,0.1337,0.2283,0.5859
1h,2020,W4,LTCUSDT,0.052,"SMA(10,50)",10,50,0.1139,0.1829,0.6228
1h,2020,W4,ETHUSDT,0.0369,"SMA(5,50)",5,50,0.0939,0.1281,0.7334
1h,2020,W4,XRPUSDT,0.0061,"SMA(10,20)",10,20,0.0901,0.1152,0.7819
1h,2020,W4,LINKUSDT,-0.0097,"EMA(5,50)",5,50,0.071,0.1197,0.5928
1h,2020,W4,BNBUSDT,-0.0102,"SMA(20,50)",20,50,0.0712,0.098,0.7268
1h,2020,W4,ATOMUSDT,-0.0172,"SMA(20,50)",20,50,0.0212,0.0517,0.41
1h,2020,W4,ALGOUSDT,-0.021,"SMA(20,50)",20,50,0.0411,0.057,0.7218
1h,2020,W4,XLMUSDT,-0.0368,"EMA(10,20)",10,20,0.0687,0.1043,0.6587
1h,2021,W1,XLMUSDT,1.41,"SMA(5,100)",5,100,1.3345,1.487,0.8974
1h,2021,W1,DOGEUSDT,1.0315,"EMA(20,100)",20,100,1.1152,1.0315,1.0
1h,2021,W1,ETHUSDT,0.6656,"EMA(5,100)",5,100,0.9927,0.6994,1.0
1h,2021,W1,ADAUSDT,0.6532,"SMA(20,50)",20,50,0.6962,0.7483,0.9304
1h,2021,W1,SOLUSDT,0.4829,"SMA(10,100)",10,100,0.1279,0.4966,0.2576
1h,2021,W1,XRPUSDT,0.4645,"SMA(10,20)",10,20,0.4329,0.4892,0.885
1h,2021,W1,LINKUSDT,0.4164,"SMA(10,50)",10,50,0.3944,0.4164,0.9473
1h,2021,W1,LTCUSDT,0.3684,"SMA(10,100)",10,100,0.3064,0.3684,0.8316
1h,2021,W1,BTCUSDT,0.358,"EMA(20,100)",20,100,0.7046,0.3587,1.0
1h,2021,W1,AVAXUSDT,0.3542,"EMA(20,100)",20,100,0.3866,0.4305,0.8979
1h,2021,W1,ALGOUSDT,0.3341,"EMA(10,100)",10,100,0.3391,0.3391,1.0
1h,2021,W1,BCHUSDT,0.3123,"SMA(20,100)",20,100,0.273,0.3297,0.8281
1h,2021,W1,FETUSDT,0.3112,"SMA(5,50)",5,50,0.2923,0.3703,0.7895
1h,2021,W1,AAVEUSDT,0.3037,"SMA(5,100)",5,100,0.3025,0.3915,0.7725
1h,2021,W1,ETCUSDT,0.2653,"SMA(5,100)",5,100,0.256,0.2926,0.875
1h,2021,W1,ZENUSDT,0.2382,"SMA(5,100)",5,100,0.2485,0.2855,0.8705
1h,2021,W1,ENJUSDT,0.23,"SMA(10,50)",10,50,0.2467,0.2741,0.9
1h,2021,W1,UNIUSDT,0.1986,"SMA(5,100)",5,100,0.7205,0.3761,1.0
1h,2021,W1,HBARUSDT,0.1865,"SMA(5,100)",5,100,0.1477,0.2237,0.6605
1h,2021,W1,BNBUSDT,0.1667,"EMA(5,100)",5,100,0.3389,0.1811,1.0
1h,2021,W1,TRXUSDT,0.1542,"EMA(20,100)",20,100,0.1126,0.1615,0.6973
1h,2021,W1,INJUSDT,0.1481,"EMA(20,100)",20,100,0.0606,0.3035,0.1996
1h,2021,W1,CRVUSDT,0.1151,"SMA(5,100)",5,100,0.3278,0.2557,1.0
1h,2021,W1,JSTUSDT,0.0993,"EMA(5,50)",5,50,0.0446,0.1033,0.4319
1h,2021,W1,ZECUSDT,0.0481,"SMA(10,100)",10,100,0.1459,0.2129,0.6856
1h,2021,W2,AVAXUSDT,1.1336,"EMA(20,100)",20,100,1.9611,1.2483,1.0
1h,2021,W2,ZENUSDT,0.768,"EMA(20,100)",20,100,1.027,0.846,1.0
1h,2021,W2,ZECUSDT,0.703,"SMA(10,100)",10,100,0.8883,0.7816,1.0
1h,2021,W2,DOTUSDT,0.5381,"SMA(5,50)",5,50,0.7461,0.9026,0.8266
1h,2021,W2,SOLUSDT,0.4241,"EMA(20,100)",20,100,0.0413,0.4663,0.0886
1h,2021,W2,INJUSDT,0.4024,"EMA(5,20)",5,20,0.5764,0.7759,0.7429
1h,2021,W2,DASHUSDT,0.3649,"SMA(5,100)",5,100,0.4876,0.4265,1.0
1h,2021,W2,AAVEUSDT,0.3198,"SMA(20,100)",20,100,0.3081,0.4635,0.6647
1h,2021,W2,HBARUSDT,0.3031,"SMA(20,50)",20,50,0.3186,0.5019,0.6348
1h,2021,W2,BCHUSDT,0.2045,"SMA(5,20)",5,20,0.1345,0.2782,0.4835
1h,2021,W2,LINKUSDT,0.1639,"EMA(5,20)",5,20,0.2472,0.3591,0.6883
1h,2021,W2,NEARUSDT,0.1513,"SMA(5,50)",5,50,0.1253,0.2575,0.4866
1h,2021,W2,UNIUSDT,0.1452,"EMA(5,20)",5,20,0.2534,0.503,0.5039
1h,2021,W2,CRVUSDT,0.1335,"SMA(10,50)",10,50,0.2788,0.4327,0.6445
1h,2021,W2,ETCUSDT,0.0956,"SMA(5,20)",5,20,0.0973,0.1863,0.5223
1h,2021,W2,ADAUSDT,0.0689,"SMA(5,50)",5,50,0.096,0.2908,0.3301
1h,2021,W2,FETUSDT,0.0626,"SMA(5,20)",5,20,0.2347,0.3907,0.6007
1h,2021,W2,ATOMUSDT,0.0467,"SMA(10,50)",10,50,0.1397,0.2561,0.5453
1h,2021,W2,ETHUSDT,0.042,"SMA(10,50)",10,50,0.1698,0.2843,0.5973
1h,2021,W2,JSTUSDT,0.0325,"SMA(5,50)",5,50,0.085,0.2123,0.4004
1h,2021,W2,ALGOUSDT,0.0315,"EMA(5,20)",5,20,0.1048,0.1847,0.5674
1h,2021,W2,CHZUSDT,0.0285,"SMA(5,50)",5,50,0.1047,0.227,0.4614
1h,2021,W2,BTCUSDT,0.0083,"SMA(10,20)",10,20,0.1397,0.2389,0.5846
1h,2021,W2,TRXUSDT,-0.004,"SMA(10,20)",10,20,0.0393,0.0936,0.4199
1h,2021,W2,XLMUSDT,-0.0042,"EMA(10,20)",10,20,0.1171,0.3567,0.3283
1h,2021,W3,CRVUSDT,1.0012,"EMA(20,100)",20,100,1.5015,1.0753,1.0
1h,2021,W3,ENJUSDT,0.8104,"SMA(20,100)",20,100,0.8891,0.8828,1.0
1h,2021,W3,HBARUSDT,0.6952,"EMA(20,100)",20,100,1.0064,0.841,1.0
1h,2021,W3,DOTUSDT,0.1055,"EMA(20,100)",20,100,-0.104,0.2562,0.0
1h,2021,W4,DOGEUSDT,3.5892,"SMA(20,50)",20,50,2.3944,3.982,0.6013
1h,2021,W4,AAVEUSDT,0.9324,"EMA(5,100)",5,100,0.6014,0.9324,0.645
1h,2021,W4,UNIUSDT,0.9244,"EMA(5,50)",5,50,0.6892,0.9244,0.7455
1h,2021,W4,SOLUSDT,0.383,"EMA(20,100)",20,100,0.0921,0.383,0.2406
1h,2021,W4,ZENUSDT,0.3467,"SMA(5,50)",5,50,0.0885,0.3467,0.2552
1h,2021,W4,CRVUSDT,0.3232,"EMA(10,20)",10,20,0.0839,0.3232,0.2596
1h,2021,W4,LINKUSDT,0.2852,"EMA(5,20)",5,20,0.0522,0.2852,0.1831
1h,2021,W4,ALGOUSDT,0.2694,"SMA(10,20)",10,20,0.0101,0.2694,0.0375
1h,2021,W4,JSTUSDT,0.2626,"SMA(5,20)",5,20,0.1116,0.2626,0.4251
1h,2021,W4,XLMUSDT,0.2517,"SMA(5,20)",5,20,0.1935,0.2579,0.7501
1h,2021,W4,ETHUSDT,0.2441,"SMA(5,20)",5,20,0.0302,0.2441,0.1236
1h,2021,W4,ENJUSDT,0.2199,"SMA(5,20)",5,20,-0.0214,0.2199,0.0
1h,2021,W4,INJUSDT,0.2107,"EMA(10,20)",10,20,0.0461,0.2107,0.2187
1h,2021,W4,ADAUSDT,0.2037,"SMA(5,20)",5,20,0.0542,0.2037,0.2663
1h,2021,W4,ATOMUSDT,0.1823,"SMA(5,20)",5,20,0.1131,0.1823,0.6201
1h,2021,W4,FETUSDT,0.1741,"SMA(10,50)",10,50,-0.0121,0.1741,0.0
1h,2021,W4,BNBUSDT,0.1404,"SMA(5,20)",5,20,0.0377,0.1404,0.2688
1h,2021,W4,CHZUSDT,0.1378,"SMA(10,20)",10,20,0.0365,0.1378,0.2647
1h,2021,W4,BTCUSDT,0.1298,"SMA(5,20)",5,20,0.0618,0.1298,0.4756
1h,2021,W4,ETCUSDT,0.1159,"SMA(5,20)",5,20,0.0739,0.1397,0.5291
1h,2021,W4,DOTUSDT,0.114,"EMA(10,20)",10,20,0.034,0.114,0.2982
1h,2021,W4,TRXUSDT,0.1096,"SMA(5,20)",5,20,0.0328,0.1096,0.2997
1h,2021,W4,ZECUSDT,0.1024,"EMA(10,20)",10,20,0.0596,0.1125,0.5293
1h,2021,W4,HBARUSDT,0.095,"SMA(10,20)",10,20,0.1208,0.1891,0.6389
1h,2021,W4,AVAXUSDT,0.0905,"SMA(10,20)",10,20,0.0572,0.0952,0.6002
1h,2022,W1,LINKUSDT,0.2974,"SMA(20,100)",20,100,0.2344,0.3233,0.725
1h,2022,W1,ICPUSDT,0.2042,"SMA(5,20)",5,20,-0.0214,0.2129,0.0
1h,2022,W1,ATOMUSDT,0.1572,"EMA(5,100)",5,100,-0.0085,0.1613,0.0
1h,2022,W1,NEARUSDT,0.0204,"SMA(5,20)",5,20,-0.0631,0.0717,0.0
1h,2022,W1,DASHUSDT,-0.0066,"EMA(5,20)",5,20,0.0811,0.1415,0.5728
1h,2022,W1,ZECUSDT,-0.06,"SMA(10,20)",10,20,0.025,0.069,0.3622
1h,2022,W1,JSTUSDT,-0.0759,"SMA(10,20)",10,20,-0.0016,0.0123,0.0
1h,2022,W1,DOTUSDT,-0.0873,"SMA(10,20)",10,20,-0.0255,0.0036,0.0
1h,2022,W1,XRPUSDT,-0.0908,"SMA(5,20)",5,20,0.0,0.0291,0.0
1h,2022,W1,FILUSDT,-0.0912,"SMA(5,20)",5,20,0.0003,0.0321,0.0099
1h,2022,W1,ZENUSDT,-0.0978,"SMA(10,20)",10,20,0.0122,0.0513,0.238
1h,2022,W1,CRVUSDT,-0.102,"SMA(5,20)",5,20,-0.0058,0.0271,0.0
1h,2022,W1,TRXUSDT,-0.1033,"SMA(10,20)",10,20,0.0,0.0116,0.0
1h,2022,W1,ETCUSDT,-0.1184,"SMA(5,20)",5,20,-0.0107,0.0201,0.0
1h,2022,W1,LTCUSDT,-0.1212,"SMA(10,20)",10,20,-0.0238,0.0178,0.0
1h,2022,W2,NEARUSDT,0.3104,"SMA(20,50)",20,50,0.4592,0.534,0.8599
1h,2022,W2,DOGEUSDT,0.161,"SMA(10,50)",10,50,0.2144,0.29,0.7394
1h,2022,W2,DOTUSDT,0.0956,"EMA(20,100)",20,100,0.0896,0.1973,0.454
1h,2022,W2,LTCUSDT,0.0848,"SMA(10,100)",10,100,0.1021,0.1624,0.629
1h,2022,W2,BNBUSDT,0.0819,"EMA(20,50)",20,50,0.096,0.1776,0.5403
1h,2022,W2,DYDXUSDT,0.0653,"EMA(10,50)",10,50,0.1227,0.2353,0.5213
1h,2022,W2,DEXEUSDT,0.0568,"SMA(5,20)",5,20,0.001,0.0683,0.0149
1h,2022,W2,SUPERUSDT,0.0556,"EMA(5,100)",5,100,0.0141,0.1808,0.0779
1h,2022,W2,ADAUSDT,0.0538,"SMA(10,100)",10,100,0.0949,0.164,0.5789
1h,2022,W2,SOLUSDT,0.0436,"SMA(20,100)",20,100,0.0443,0.0986,0.4488
1h,2022,W2,DASHUSDT,0.0421,"SMA(10,50)",10,50,-0.014,0.0681,0.0
1h,2022,W2,SHIBUSDT,0.0395,"SMA(10,100)",10,100,0.0856,0.1697,0.5045
1h,2022,W2,ETCUSDT,0.0326,"SMA(20,50)",20,50,0.0819,0.1422,0.5759
1h,2022,W2,CRVUSDT,0.0303,"EMA(20,50)",20,50,0.1595,0.2765,0.5771
1h,2022,W2,BTCUSDT,0.0264,"SMA(5,100)",5,100,0.0038,0.0592,0.0644
1h,2022,W2,AVAXUSDT,0.0257,"SMA(5,20)",5,20,0.0061,0.136,0.0451
1h,2022,W2,AAVEUSDT,0.0247,"SMA(10,20)",10,20,0.0521,0.1493,0.3492
1h,2022,W2,ATOMUSDT,0.0225,"EMA(5,20)",5,20,0.0387,0.1764,0.2197
1h,2022,W2,ETHUSDT,0.0219,"SMA(10,100)",10,100,0.0232,0.099,0.2342
1h,2022,W2,HBARUSDT,0.0159,"SMA(5,100)",5,100,0.032,0.1056,0.303
1h,2022,W2,ICPUSDT,0.015,"EMA(5,20)",5,20,0.0018,0.0638,0.029
1h,2022,W2,XLMUSDT,0.0119,"SMA(20,100)",20,100,-0.0131,0.0846,0.0
1h,2022,W2,ZECUSDT,0.0113,"SMA(5,20)",5,20,-0.0021,0.0563,0.0
1h,2022,W2,XRPUSDT,0.0036,"SMA(20,100)",20,100,0.0025,0.0723,0.034
1h,2022,W2,INJUSDT,0.0033,"SMA(10,20)",10,20,0.0052,0.0864,0.0598
1h,2022,W3,DYDXUSDT,0.0647,"SMA(10,50)",10,50,0.1514,0.2456,0.6167
1h,2022,W3,ICPUSDT,-0.254,"SMA(10,20)",10,20,-0.017,0.0494,0.0
1h,2022,W4,BTCUSDT,0.033,"SMA(20,100)",20,100,0.0357,0.1415,0.2525
1h,2022,W4,AVAXUSDT,0.0156,"SMA(5,20)",5,20,0.034,0.2113,0.1611
1h,2022,W4,BNBUSDT,0.0003,"EMA(5,20)",5,20,0.006,0.1376,0.0436
1h,2022,W4,ZENUSDT,-0.0086,"SMA(20,100)",20,100,0.1279,0.2735,0.4677
1h,2022,W4,DOGEUSDT,-0.0153,"SMA(5,20)",5,20,0.015,0.1237,0.1216
1h,2022,W4,ETHUSDT,-0.0171,"SMA(5,20)",5,20,0.0427,0.1663,0.2567
1h,2022,W4,JSTUSDT,-0.0202,"SMA(5,100)",5,100,0.0695,0.1812,0.3834
1h,2022,W4,DEXEUSDT,-0.0256,"SMA(20,50)",20,50,0.0222,0.1333,0.1661
1h,2022,W4,ETCUSDT,-0.0337,"SMA(5,100)",5,100,0.0392,0.1449,0.2703
1h,2022,W4,XLMUSDT,-0.0373,"SMA(5,50)",5,50,0.0237,0.1427,0.1662
1h,2022,W4,ARUSDT,-0.0444,"SMA(5,20)",5,20,0.0422,0.1466,0.2881
1h,2022,W4,XRPUSDT,-0.0447,"SMA(5,20)",5,20,0.0127,0.0939,0.1358
1h,2022,W4,SHIBUSDT,-0.0463,"SMA(5,20)",5,20,0.0119,0.147,0.0811
1h,2022,W4,LTCUSDT,-0.0503,"SMA(5,50)",5,50,0.0263,0.1095,0.2398
1h,2022,W4,ENJUSDT,-0.0509,"SMA(5,100)",5,100,0.0386,0.2274,0.1698
1h,2022,W4,BCHUSDT,-0.0619,"SMA(5,20)",5,20,0.0259,0.1305,0.1984
1h,2022,W4,TRXUSDT,-0.0624,"SMA(5,100)",5,100,0.0282,0.1205,0.2342
1h,2022,W4,ADAUSDT,-0.0717,"SMA(5,20)",5,20,0.0106,0.095,0.1116
1h,2022,W4,DOTUSDT,-0.0737,"EMA(5,20)",5,20,0.0217,0.1477,0.1471
1h,2022,W4,LINKUSDT,-0.0809,"SMA(10,20)",10,20,0.0612,0.1791,0.3416
1h,2022,W4,ALGOUSDT,-0.0865,"SMA(20,100)",20,100,0.033,0.1565,0.2107
1h,2022,W4,HBARUSDT,-0.0909,"SMA(20,100)",20,100,0.0366,0.1503,0.2437
1h,2022,W4,CHZUSDT,-0.0988,"SMA(5,50)",5,50,0.0298,0.1245,0.2393
1h,2022,W4,DASHUSDT,-0.1007,"SMA(5,100)",5,100,0.046,0.173,0.2656
1h,2022,W4,ZECUSDT,-0.1169,"SMA(20,50)",20,50,0.027,0.1092,0.2469
1h,2023,W1,FETUSDT,0.6987,"SMA(5,100)",5,100,0.6518,0.7193,0.9061
1h,2023,W1,LDOUSDT,0.5566,"EMA(5,100)",5,100,0.5184,0.5632,0.9205
1h,2023,W1,SOLUSDT,0.3096,"EMA(10,100)",10,100,0.3109,0.3447,0.9022
1h,2023,W1,ETCUSDT,0.2768,"SMA(20,100)",20,100,0.2687,0.2858,0.9401
1h,2023,W1,NEARUSDT,0.251,"EMA(20,50)",20,50,0.2235,0.2571,0.8696
1h,2023,W1,OPUSDT,0.198,"EMA(5,100)",5,100,0.1889,0.202,0.9354
1h,2023,W1,ARUSDT,0.1324,"EMA(5,20)",5,20,0.0405,0.1361,0.2979
1h,2023,W1,ADAUSDT,0.1316,"SMA(5,100)",5,100,0.1247,0.133,0.9377
1h,2023,W1,ALGOUSDT,0.1306,"EMA(20,100)",20,100,0.1521,0.1319,1.0
1h,2023,W1,APTUSDT,0.1167,"EMA(5,20)",5,20,0.0,0.1167,0.0
1h,2023,W1,ZECUSDT,0.1156,"EMA(5,20)",5,20,0.0147,0.137,0.1071
1h,2023,W1,DASHUSDT,0.1095,"SMA(5,100)",5,100,0.0767,0.1189,0.6448
1h,2023,W1,DYDXUSDT,0.1056,"EMA(20,100)",20,100,0.1035,0.1157,0.8949
1h,2023,W1,FILUSDT,0.1001,"SMA(20,100)",20,100,0.0895,0.1001,0.8947
1h,2023,W1,LTCUSDT,0.099,"EMA(5,20)",5,20,0.0146,0.1013,0.1444
