cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
30m,2023,W2,ADAUSDT,0.2694,"EMA(10,100)",10,100,0.1132,0.2805,0.4037
30m,2023,W2,ZENUSDT,0.2684,"SMA(10,100)",10,100,0.1787,0.27,0.6617
30m,2023,W2,ATOMUSDT,0.2665,"EMA(20,100)",20,100,0.2388,0.2853,0.837
30m,2023,W2,BCHUSDT,0.2389,"EMA(20,100)",20,100,0.2414,0.25,0.9655
30m,2023,W2,BTCUSDT,0.237,"EMA(5,100)",5,100,0.2452,0.2381,1.0
30m,2023,W2,SHIBUSDT,0.2352,"EMA(5,100)",5,100,0.1633,0.2455,0.6652
30m,2023,W2,UNIUSDT,0.229,"EMA(5,100)",5,100,0.1338,0.2374,0.5634
30m,2023,W2,ETHUSDT,0.2262,"EMA(20,100)",20,100,0.2405,0.2301,1.0
30m,2023,W3,APTUSDT,0.5618,"EMA(20,50)",20,50,0.4978,0.6563,0.7585
30m,2023,W3,HBARUSDT,0.3497,"EMA(20,100)",20,100,0.8261,0.4167,1.0
30m,2023,W3,OPUSDT,0.2816,"EMA(20,50)",20,50,0.2787,0.3526,0.7902
30m,2023,W3,ENJUSDT,0.2501,"SMA(10,100)",10,100,0.0336,0.3183,0.1055
30m,2023,W3,CRVUSDT,0.2281,"SMA(20,100)",20,100,0.1128,0.2672,0.4224
30m,2023,W3,SHIBUSDT,0.1412,"EMA(5,100)",5,100,0.0421,0.2024,0.208
30m,2023,W3,FETUSDT,0.1394,"SMA(10,100)",10,100,0.0194,0.2406,0.0806
30m,2023,W3,LDOUSDT,0.1184,"SMA(10,100)",10,100,0.2067,0.272,0.7601
30m,2023,W3,AAVEUSDT,0.1177,"EMA(20,50)",20,50,0.0394,0.1591,0.2474
30m,2023,W3,BTCUSDT,0.0887,"SMA(5,100)",5,100,0.086,0.1045,0.8233
30m,2023,W3,INJUSDT,0.0715,"SMA(20,50)",20,50,0.1396,0.1887,0.7399
30m,2023,W3,ICPUSDT,0.0593,"EMA(5,50)",5,50,0.067,0.112,0.5986
30m,2023,W3,SUPERUSDT,0.0564,"SMA(10,50)",10,50,0.0671,0.1112,0.6036
30m,2023,W3,MOVRUSDT,0.0538,"EMA(5,50)",5,50,0.0595,0.1028,0.5791
30m,2023,W3,ETHUSDT,0.0534,"SMA(20,50)",20,50,0.0564,0.0756,0.7464
30m,2023,W3,FILUSDT,0.0508,"SMA(10,50)",10,50,0.131,0.1599,0.8192
30m,2023,W3,NEARUSDT,0.0506,"SMA(5,100)",5,100,0.1232,0.1784,0.6905
30m,2023,W3,ADAUSDT,0.0497,"SMA(5,50)",5,50,0.0974,0.1324,0.7358
30m,2023,W3,JSTUSDT,0.0425,"EMA(5,20)",5,20,0.0465,0.0661,0.7039
30m,2023,W3,ALGOUSDT,0.0378,"SMA(5,50)",5,50,0.117,0.1443,0.8107
30m,2023,W3,DOTUSDT,0.0362,"SMA(10,50)",10,50,0.0888,0.1046,0.8489
30m,2023,W3,XLMUSDT,0.0355,"EMA(5,50)",5,50,0.0762,0.0984,0.7741
30m,2023,W3,DYDXUSDT,0.0306,"EMA(5,50)",5,50,0.2132,0.2605,0.8184
30m,2023,W3,ATOMUSDT,0.0246,"EMA(10,50)",10,50,0.1013,0.1338,0.7571
30m,2023,W3,XRPUSDT,0.0239,"SMA(5,100)",5,100,0.0486,0.0813,0.5985
30m,2023,W4,APTUSDT,0.4758,"SMA(5,50)",5,50,0.0069,0.5067,0.0136
30m,2023,W4,DYDXUSDT,0.3925,"EMA(5,100)",5,100,0.3304,0.5075,0.6511
30m,2023,W4,SUPERUSDT,0.2719,"EMA(20,100)",20,100,0.2965,0.3041,0.9751
30m,2023,W4,AVAXUSDT,0.208,"EMA(20,100)",20,100,0.1557,0.2408,0.6466
30m,2023,W4,ICPUSDT,0.1096,"EMA(20,100)",20,100,0.0418,0.1306,0.3203
30m,2023,W4,JSTUSDT,0.0987,"EMA(20,100)",20,100,0.0759,0.1082,0.7014
30m,2023,W4,FETUSDT,0.092,"SMA(5,100)",5,100,0.0644,0.1632,0.3944
30m,2023,W4,ARUSDT,0.0888,"EMA(5,50)",5,50,-0.002,0.0994,0.0
30m,2023,W4,MOVRUSDT,0.0795,"EMA(20,100)",20,100,0.0333,0.1184,0.2812
30m,2023,W4,ALGOUSDT,0.0755,"SMA(10,100)",10,100,0.0622,0.1248,0.4986
30m,2023,W4,CRVUSDT,0.0509,"SMA(5,100)",5,100,0.0,0.1016,0.0
30m,2023,W4,ENJUSDT,0.0423,"EMA(5,50)",5,50,0.1087,0.1706,0.637
30m,2023,W4,DOGEUSDT,0.0275,"SMA(5,100)",5,100,0.0168,0.0697,0.241
30m,2023,W4,ADAUSDT,0.0233,"EMA(20,100)",20,100,0.0192,0.0996,0.1929
30m,2023,W4,DEXEUSDT,0.0206,"EMA(5,50)",5,50,0.016,0.0637,0.2507
30m,2023,W4,TRXUSDT,0.0165,"EMA(20,100)",20,100,0.0219,0.062,0.353
30m,2023,W4,XLMUSDT,0.0164,"SMA(5,100)",5,100,0.0043,0.0427,0.1014
30m,2024,W1,TIAUSDT,0.2082,"SMA(10,50)",10,50,-0.0387,0.2299,0.0
30m,2024,W1,SEIUSDT,0.1857,"SMA(20,50)",20,50,0.0121,0.1857,0.0652
30m,2024,W1,ARBUSDT,0.0974,"SMA(20,50)",20,50,-0.0494,0.132,0.0
30m,2024,W1,BTCUSDT,0.0353,"SMA(20,100)",20,100,0.0024,0.042,0.0574
30m,2024,W1,PROMUSDT,-0.1067,"SMA(10,20)",10,20,-0.0356,0.0,0.0
30m,2024,W2,SUIUSDT,0.5711,"EMA(5,100)",5,100,0.5001,0.7272,0.6877
30m,2024,W2,BONKUSDT,0.392,"SMA(20,50)",20,50,-0.0365,0.5085,0.0
30m,2024,W2,TIAUSDT,0.281,"EMA(20,100)",20,100,0.1386,0.4149,0.3339
30m,2024,W2,PROMUSDT,0.2768,"EMA(10,50)",10,50,0.1991,0.3337,0.5966
30m,2024,W2,ARUSDT,0.2628,"EMA(5,100)",5,100,0.0854,0.3354,0.2546
30m,2024,W2,ZENUSDT,0.2192,"EMA(20,100)",20,100,0.2142,0.3343,0.6406
30m,2024,W2,DYDXUSDT,0.1537,"SMA(5,50)",5,50,0.0307,0.241,0.1274
