col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
bd_bgf_imbalance_l1,bd,73,0.2423,1.2412409028428462,0.406401927038928,0
bd_depth_at_02pct,bd,104,0.3543,NaN,NaN,0
bd_depth_l1pct_mean,bd,104,0.3543,NaN,NaN,0
bd_depth_l1pct_p90,bd,104,0.3543,NaN,NaN,0
bd_imbalance_l1,bd,104,0.3543,NaN,NaN,0
bd_imbalance_l5,bd,104,0.3543,NaN,NaN,0
bd_n_snapshots,bd,104,0.3543,NaN,NaN,0
bd_notional_l1pct_mean,bd,104,0.3543,NaN,NaN,0
bd_notional_skew,bd,104,0.3543,NaN,NaN,0
bd_thin_book_frac,bd,104,0.358,NaN,NaN,30
bd_total_depth_l5_mean,bd,104,0.3543,NaN,NaN,0
bd_total_depth_l5_p10,bd,104,0.3543,NaN,NaN,0
bs_basis_bear_shock,bs,104,0.3194,NaN,NaN,0
bs_basis_bull_shock,bs,104,0.3194,NaN,NaN,0
bs_basis_delta_1d,bs,104,0.3204,NaN,NaN,0
bs_basis_delta_3d,bs,104,0.3223,NaN,NaN,0
bs_basis_frenzy,bs,104,0.3194,NaN,NaN,46
bs_basis_panic,bs,104,0.3194,NaN,NaN,8
bs_basis_pct,bs,104,0.3194,NaN,NaN,0
bs_basis_xsec_z,bs,104,0.3194,NaN,NaN,0
bs_basis_z30,bs,104,0.3291,NaN,NaN,0
dv_dvol_close,dv,104,0.9843,NaN,NaN,0
dv_dvol_high,dv,104,0.9843,NaN,NaN,0
dv_dvol_low,dv,104,0.9843,NaN,NaN,0
etf_any_inflow_shock,etf,104,0.2882,0.09191757276243598,0.28734680459505985,0
etf_both_inflow_shock,etf,104,0.2882,0.008724682152283772,0.0854338505658019,15
etf_btc_etf_inflow_shock,etf,104,0.2882,0.06152448179960515,0.23965132177514384,0
etf_btc_etf_mega_inflow,etf,104,0.2882,0.10967817458168218,0.31003763090082664,0
etf_btc_etf_mega_outflow,etf,104,0.2882,0.03768904086273879,0.18432953187529894,4
etf_btc_etf_outflow_shock,etf,104,0.2882,0.02399363101399608,0.14816246635014638,6
etf_btc_etf_total_7d_z,etf,104,0.2955,0.13593933172794856,1.3432482117422107,0
etf_btc_etf_total_usdm,etf,104,0.2882,93.65504190484151,341.26506805624916,0
etf_btc_etf_total_z30,etf,104,0.2939,0.07222385097809046,1.1566811372991816,0
etf_eth_etf_inflow_shock,etf,104,0.38,0.04851402475588039,0.20492761083377464,4
etf_eth_etf_outflow_shock,etf,104,0.38,0.011587105781454488,0.1033476617641069,6
etf_eth_etf_total_usdm,etf,104,0.38,24.099698515259742,146.53954024181624,0
etf_eth_etf_total_z30,etf,104,0.3869,0.18610158442398086,1.2021096536151819,0
fund_avg_apr,fund,77,0.0638,NaN,NaN,0
fund_extreme_long_count,fund,77,0.0638,NaN,NaN,19
fund_extreme_short_count,fund,77,0.0638,NaN,NaN,2
fund_n_settlements,fund,77,0.0638,NaN,NaN,17
