col,family,n_assets_present,mean_missing_frac,mean_of_means,mean_of_stds,n_constant_assets
s3_top_acct_lsr,s3,77,0.2825,NaN,NaN,0
s3_top_pos_lsr,s3,77,0.2825,NaN,NaN,0
s3_top_pos_lsr_xsec_z,s3,77,0.2825,NaN,NaN,0
s3_top_pos_lsr_z,s3,77,0.2969,NaN,NaN,0
soc_wiki_views,soc,77,0.9484,NaN,NaN,0
stbl_compound_shock,stbl,77,0.0,0.018443536847128322,0.13373169084098968,0
stbl_dai_zscore_30d,stbl,77,0.0,0.005593346911361855,1.738042602577636,0
stbl_stable_crash,stbl,77,0.0,0.030717134273159218,0.17237786706229125,0
stbl_stable_shock,stbl,77,0.0,0.03720234849994445,0.18896114346004897,0
stbl_stable_shock_strong,stbl,77,0.0,0.013449867356183025,0.1146630581333861,0
stbl_total_delta_30d_pct,stbl,77,0.0,0.037915059580845276,0.057576214344455354,0
stbl_total_delta_7d_pct,stbl,77,0.0,0.00822199814097354,0.016751819644509103,0
stbl_total_zscore_30d,stbl,77,0.0,0.001971505268777846,1.3143682867969348,0
stbl_usdc_zscore_30d,stbl,77,0.0,0.015016067107161458,1.3122394697040223,0
stbl_usde_zscore_30d,stbl,77,0.3145,0.15259189875216703,1.967130731873325,0
stbl_usdt_delta_7d_pct,stbl,77,0.0,0.007360330031160899,0.016430362178836828,0
stbl_usdt_shock,stbl,77,0.0,0.06452168910204452,0.24553731142033416,0
stbl_usdt_zscore_30d,stbl,77,0.0,-44.98154501261558,1920.0684989251351,0
target_return_1,target,77,0.0,0.000010884002722058465,0.009725896558844463,0
target_return_16,target,77,0.0004,0.0000924361208627025,0.0370359009304479,0
target_return_16_raw,target,77,0.0004,0.0001401737491660914,0.03774159227183631,0
target_return_1_raw,target,77,0.0,0.000017384991949693357,0.010249616585359188,0
target_return_4,target,77,0.0001,0.0000398872922669003,0.01923190816091936,0
target_return_4_raw,target,77,0.0001,0.00004761723355155223,0.019469882333518533,0
target_return_50,target,77,0.0,-0.0031534445288251564,1.7927233984472277,0
target_return_64,target,77,0.0018,0.00006976166571966779,0.0715774498552209,0
target_return_64_raw,target,77,0.0018,0.0005658521028798423,0.0766913057033461,0
target_vol_20,target,77,0.0,0.002938288137582038,0.0017772786478533024,0
target_voladj_1,target,77,0.0,0.001802386405097786,0.7299181173068436,0
target_voladj_16,target,77,0.0,-0.009100225974426555,1.417101920730308,0
target_voladj_4,target,77,0.0,-0.010013096499504314,1.0804480766421865,0
target_voladj_64,target,77,0.0,-0.001410388579628298,1.8821242542807766,0
te_btc_imb,te,77,0.1058,-0.003359203546278205,0.036408090134850725,1
te_imb,te,77,0.1058,-0.002356294848423777,0.032567489718200615,0
te_in,te,77,0.1058,0.12662300472378304,0.024666759172484298,0
te_in_btc,te,77,0.1058,0.07417948953543625,0.027799192958834092,1
te_out,te,77,0.1058,0.1289792995722068,0.025160085806330782,0
te_out_btc,te,77,0.1058,0.07753869308171446,0.028575319894323135,1
wh_whale_buy_usd,wh,77,0.0515,1847251.903186017,4702973.387653412,0
wh_whale_net_usd,wh,77,0.0515,-32748.444097155952,1496932.998376902,0
wh_whale_sell_usd,wh,77,0.0515,1880000.347283173,4455666.261945062,0
wh_whale_trade_count,wh,77,0.0515,6.642931832181524,19.957169888345884,0
wh_whale_trade_count_500k,wh,77,0.0515,31.287308768695222,78.29914574044034,0
xd_btc_return,xd,77,0.0,0.0005742599764156004,0.9552949754127005,0
xd_btc_volatility,xd,77,0.0,0.01987308426330938,0.9198418231254267,0
xd_cross_return_mean,xd,77,0.0,0.028301539271045898,0.9799200143240364,0
xd_cross_vol_mean,xd,77,0.0,-0.07743697434226171,1.2351619279853094,0
xd_funding_spread,xd,77,0.0,-0.012502170316881413,1.0771232277457188,1
xd_ma_distance,xd,77,0.0,-0.003337909760659083,1.3025055382991462,0
xd_momentum_rank,xd,77,0.0,0.0036283889122283425,1.0193597452363967,0
xex_by_bn_spread_bps,xex,77,0.9752,NaN,NaN,0
xex_by_bn_spread_bps_right,xex,77,0.9709,NaN,NaN,0
xex_cb_bn_spread_bps,xex,77,0.9752,NaN,NaN,0
xex_cb_bn_spread_bps_right,xex,77,0.9647,NaN,NaN,0
xex_cb_bn_z30,xex,77,0.9648,NaN,NaN,0
xex_max_abs_spread,xex,77,0.9636,NaN,NaN,0
xex_n_venues_active,xex,77,0.963,NaN,NaN,0
xex_ok_bn_spread_bps,xex,77,0.9752,NaN,NaN,0
xex_ok_bn_spread_bps_right,xex,77,0.9636,NaN,NaN,0
xex_spread_dispersion,xex,77,0.9647,NaN,NaN,0
